symbol,interval,open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
BTCUSDT,1d,1736726400000,94545.07000000,95940.00000000,89256.69000000,94536.10000000,42619.56423000,1736812799999,3930666134.34745740,5740963,19473.88042000,1797888178.84960790,0
BTCUSDT,1d,1736812800000,94536.11000000,97371.00000000,94346.22000000,96560.86000000,27846.61753000,1736899199999,2676048470.35695040,4532923,14248.69616000,1369464111.69349600,0
BTCUSDT,1d,1736899200000,96560.85000000,100681.94000000,96500.00000000,100497.35000000,30509.99179000,1736985599999,3006242382.88679460,3487945,15494.17873000,1527728226.30833280,0
BTCUSDT,1d,1736985600000,100497.35000000,100866.66000000,97335.13000000,99987.30000000,27832.85317000,1737071999999,2765162040.63979910,3762755,13513.53707000,1342462621.62732850,0
BTCUSDT,1d,1737072000000,99987.30000000,105865.22000000,99950.77000000,104077.48000000,39171.85292000,1737158399999,4040993985.47504680,3886907,20673.21300000,2131223293.20484620,0
BTCUSDT,1d,1737158400000,104077.47000000,104988.88000000,102277.55000000,104556.23000000,24307.82998000,1737244799999,2521522119.37952530,3403162,11607.51274000,1204170928.37481190,0
BTCUSDT,1d,1737244800000,104556.23000000,106422.43000000,99651.60000000,101331.57000000,43397.28298000,1737331199999,4513423971.41025210,5271920,21079.51082000,2193270771.00194450,0
BTCUSDT,1d,1737331200000,101331.57000000,109588.00000000,99550.00000000,102260.01000000,89529.23173200,1737417599999,9398787064.32071500,11597937,44770.52949200,4704453254.51538250,0
BTCUSDT,1d,1737417600000,102260.00000000,107240.81000000,100119.04000000,106143.82000000,45941.02002000,1737503999999,4768512258.15650130,6842980,23227.02741000,2411854258.51271880,0
BTCUSDT,1d,1737504000000,106143.82000000,106394.46000000,103339.12000000,103706.66000000,22248.69254000,1737590399999,2331144640.65857870,4364035,10501.59306000,1100173331.98765840,0
BTCUSDT,1d,1737590400000,103706.66000000,106850.00000000,101262.28000000,103910.34000000,53953.12031000,1737676799999,5610760848.13163840,6961383,27045.92646000,2813824950.57188350,0
BTCUSDT,1d,1737676800000,103910.35000000,107120.00000000,102750.00000000,104870.50000000,23609.24017000,1737763199999,2483818574.37374800,4798886,11893.46050000,1251601023.34846860,0
BTCUSDT,1d,1737763200000,104870.51000000,105286.52000000,104106.09000000,104746.85000000,9068.32377000,1737849599999,949511531.35780170,1770765,4462.60438000,467284996.37609660,0
BTCUSDT,1d,1737849600000,104746.86000000,105500.00000000,102520.44000000,102620.00000000,9812.51238000,1737935999999,1024352365.47155230,1813011,4642.17247000,484871090.33614970,0
BTCUSDT,1d,1737936000000,102620.01000000,103260.00000000,97777.77000000,102082.83000000,50758.13410000,1738022399999,5092886322.82924400,9368910,23529.22433000,2361569760.84189380,0
BTCUSDT,1d,1738022400000,102082.83000000,103800.00000000,100272.68000000,101335.52000000,22022.05765000,1738108799999,2253977324.03620920,5428644,10756.64741000,1101357650.29198760,0
